resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,stop,pit_stop_lap,pit_stop_duration
20801,842,20,9,1,1,25.0,56,1,2,25,21893
20801,842,20,9,1,1,25.0,56,1,3,41,22313
20802,842,18,1,4,2,18.0,56,1,1,13,22400
20802,842,18,1,4,2,18.0,56,1,2,23,22471
20802,842,18,1,4,2,18.0,56,1,3,38,22483
20803,842,2,4,6,3,15.0,56,1,1,13,23900
20803,842,2,4,6,3,15.0,56,1,2,26,23221
20803,842,2,4,6,3,15.0,56,1,3,39,22602
20804,842,17,9,3,4,12.0,56,1,1,10,22572
20804,842,17,9,3,4,12.0,56,1,2,22,21991
20804,842,17,9,3,4,12.0,56,1,3,32,22069
20804,842,17,9,3,4,12.0,56,1,4,43,22161
20805,842,13,6,7,5,10.0,56,1,1,13,29224
20805,842,13,6,7,5,10.0,56,1,2,27,22541
20805,842,13,6,7,5,10.0,56,1,3,38,22893
20806,842,4,6,5,6,8.0,56,1,1,14,23152
20806,842,4,6,5,6,8.0,56,1,2,26,23894
20806,842,4,6,5,6,8.0,56,1,3,41,23812
20806,842,4,6,5,6,8.0,56,1,4,46,27182
20807,842,155,15,10,7,6.0,56,1,1,17,23280
20807,842,155,15,10,7,6.0,56,1,2,36,23442
20808,842,1,1,2,8,4.0,56,1,1,12,22552
20808,842,1,1,2,8,4.0,56,1,2,24,22611
20808,842,1,1,2,8,4.0,56,1,3,37,25382
20808,842,1,1,2,8,4.0,56,1,4,52,22466
20809,842,30,131,11,9,2.0,56,1,1,14,22576
20809,842,30,131,11,9,2.0,56,1,2,28,22261
20809,842,30,131,11,9,2.0,56,1,3,42,22227
20810,842,814,10,14,10,1.0,56,1,1,11,22773
20810,842,814,10,14,10,1.0,56,1,2,24,22419
20810,842,814,10,14,10,1.0,56,1,3,37,23977
20811,842,16,10,17,11,0.0,55,11,1,3,31694
20811,842,16,10,17,11,0.0,55,11,2,16,22046
20811,842,16,10,17,11,0.0,55,11,3,32,22550
20812,842,3,131,9,12,0.0,55,11,1,15,24967
20812,842,3,131,9,12,0.0,55,11,2,29,22577
20812,842,3,131,9,12,0.0,55,11,3,40,22526
20813,842,67,5,12,13,0.0,55,11,1,15,23280
20813,842,67,5,12,13,0.0,55,11,2,20,29843
20813,842,67,5,12,13,0.0,55,11,3,32,27439
20814,842,153,5,13,14,0.0,55,11,1,16,23584
