resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration,avg_points,total_wins,avg_pitstops,avg_pitstop_duration,circuitId
20860,844,30,131,8,12,0.0,58,1,4,92065,3.289473684210526,0,2.3684210526315788,53388.10526315789,5
20861,844,16,10,12,13,0.0,57,11,3,63739,1.392156862745098,0,2.372549019607843,82185.35294117648,5
20862,844,815,15,15,14,0.0,57,11,4,96245,6.0625,6,2.01953125,189425.61328125,5
20863,844,22,3,11,15,0.0,57,11,3,67272,0.2222222222222222,0,2.7777777777777777,68380.61111111111,5
20864,844,153,5,17,16,0.0,57,11,4,88456,1.4444444444444444,0,2.388888888888889,57004.5,5
20865,844,813,3,14,17,0.0,57,11,4,82188,0.9382716049382716,1,2.4074074074074074,72802.79012345678,5
20866,844,15,205,19,18,0.0,57,11,3,68147,0.0,0,2.235294117647059,56120.41176470588,5
20867,844,5,205,18,19,0.0,56,12,3,67601,0.0,0,2.475,60906.45,5
20868,844,816,166,23,20,0.0,56,12,2,47616,0.0,0,2.3333333333333335,57956.555555555555,5
20869,844,39,164,22,21,0.0,55,13,3,76789,0.0,0,2.0416666666666665,52388.291666666664,5
20870,844,24,164,20,22,0.0,53,15,4,149973,0.0,0,2.5625,70219.875,5
20871,844,814,10,13,23,0.0,44,31,4,83995,2.086206896551724,0,2.189655172413793,52736.224137931036,5
20873,845,20,9,2,1,25.0,66,1,4,80858,12.107142857142858,43,2.0669642857142856,161710.7232142857,4
20874,845,1,1,3,2,18.0,66,1,4,81457,15.39607843137255,80,2.023529411764706,183009.99607843137,4
20875,845,18,1,5,3,15.0,66,1,3,60885,6.252252252252252,6,2.3333333333333335,106312.72972972973,4
20876,845,17,9,1,4,12.0,66,1,4,81223,11.357142857142858,3,2.5357142857142856,59732.67857142857,4
20877,845,4,6,4,5,10.0,65,11,4,81923,6.76605504587156,6,2.091743119266055,200918.623853211,4
20878,845,30,131,10,6,8.0,65,11,3,61022,3.289473684210526,0,2.3684210526315788,53388.10526315789,4
20879,845,3,131,7,7,6.0,65,11,3,60576,12.405405405405405,23,2.2432432432432434,111625.33333333333,4
20880,845,2,4,24,8,4.0,65,11,3,64071,3.4,0,2.5,57333.3,4
20881,845,815,15,12,9,2.0,65,11,3,66564,6.0625,6,2.01953125,189425.61328125,4
20882,845,155,15,14,10,1.0,65,11,3,66499,1.8,0,2.14,74539.4,4
20883,845,808,4,6,11,0.0,65,11,3,67827,1.0,0,2.3513513513513513,55713.2972972973,4
20884,845,814,10,16,12,0.0,65,11,3,60769,2.086206896551724,0,2.189655172413793,52736.224137931036,4
20885,845,16,10,17,13,0.0,65,11,3,64270,1.392156862745098,0,2.372549019607843,82185.35294117648,4
20886,845,67,5,11,14,0.0,65,11,3,66382,0.8823529411764706,0,2.411764705882353,57941.0,4
20887,845,813,3,9,15,0.0,65,11,4,91161,0.9382716049382716,1,2.4074074074074074,72802.79012345678,4
20888,845,153,5,13,16,0.0,64,12,4,85775,1.4444444444444444,0,2.388888888888889,57004.5,4
20889,845,22,3,19,17,0.0,64,12,4,92449,0.2222222222222222,0,2.7777777777777777,68380.61111111111,4
20890,845,15,205,18,18,0.0,64,12,3,67088,0.0,0,2.235294117647059,56120.41176470588,4
20891,845,10,166,20,19,0.0,63,13,3,65546,0.0,0,2.0833333333333335,49466.555555555555,4
20892,845,816,166,23,20,0.0,62,14,3,67866,0.0,0,2.3333333333333335,57956.555555555555,4
