resultId,raceId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration,points_avg,total_pitstops_avg,total_pitstop_duration_avg,driverId_2,driverId_3,driverId_4,driverId_5,driverId_8,driverId_9,driverId_10,driverId_13,driverId_15,driverId_16,driverId_17,driverId_18,driverId_20,driverId_22,driverId_24,driverId_30,driverId_37,driverId_39,driverId_67,driverId_153,driverId_154,driverId_155,driverId_807,driverId_808,driverId_811,driverId_812,driverId_813,driverId_814,driverId_815,driverId_816,driverId_817,driverId_818,driverId_819,driverId_820,driverId_821,driverId_822,driverId_823,driverId_824,driverId_825,driverId_826,driverId_828,driverId_829,driverId_830,driverId_831,driverId_832,driverId_833,driverId_834,driverId_835,driverId_836,driverId_837,driverId_838,driverId_839,driverId_840,driverId_841,driverId_842,driverId_843,driverId_844,driverId_845,driverId_846,driverId_847,driverId_848,driverId_849,driverId_850,driverId_851,driverId_852,driverId_853,driverId_854,driverId_855,driverId_856,driverId_857,driverId_858,driverId_859,driverId_860,constructorId_3,constructorId_4,constructorId_5,constructorId_6,constructorId_9,constructorId_10,constructorId_15,constructorId_51,constructorId_117,constructorId_131,constructorId_164,constructorId_166,constructorId_205,constructorId_206,constructorId_207,constructorId_208,constructorId_209,constructorId_210,constructorId_211,constructorId_213,constructorId_214,constructorId_215
20792,841,22,14,0.0,54,14,2,51705,0.0,2.3333333333333335,57956.555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20793,841,21,15,0.0,49,19,1,23792,0.0,2.0833333333333335,49466.555555555555,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20794,841,17,16,0.0,48,7,4,104700,0.2222222222222222,2.7777777777777777,68380.61111111111,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20795,841,7,17,0.0,22,4,1,23716,12.405405405405405,2.2432432432432434,111625.33333333333,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20796,841,19,18,0.0,19,47,1,24865,0.0,2.475,60906.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
20797,841,11,19,0.0,19,4,2,49009,3.289473684210526,2.3684210526315788,53388.10526315789,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20799,841,9,21,0.0,58,2,2,48256,1.8,2.14,74539.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20800,841,13,22,0.0,58,2,1,23438,6.0625,2.01953125,189425.61328125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20801,842,1,1,25.0,56,1,3,67225,12.107142857142858,2.0669642857142856,161710.7232142857,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20802,842,4,2,18.0,56,1,3,67354,6.252252252252252,2.3333333333333335,106312.72972972973,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
