driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
18,1,3,0,55,35,2
20,9,2,1,55,35,2
22,3,18,0,55,35,2
24,164,23,0,52,35,3
30,131,12,0,15,35,1
67,5,13,0,55,35,2
153,5,11,0,55,35,2
155,15,14,0,54,35,3
808,4,8,0,16,35,1
811,4,15,0,54,35,2
813,3,16,0,30,35,3
814,10,9,0,55,35,2
815,15,17,0,54,35,3
816,166,22,0,54,35,2
817,164,24,0,54,35,2
1,1,5,0,60,68,3
3,131,7,0,60,68,2
4,6,3,0,60,68,2
5,205,18,0,58,68,2
10,166,22,0,2,68,1
13,6,6,0,32,68,3
15,205,19,0,55,68,3
16,10,8,0,59,68,2
17,9,2,0,60,68,2
18,1,4,0,60,68,2
20,9,1,1,60,68,2
22,3,15,0,58,68,2
30,131,11,0,60,68,2
39,164,24,0,57,68,2
67,5,9,0,24,68,1
153,5,10,0,59,68,2
808,4,16,0,59,68,2
811,4,14,0,59,68,2
814,10,12,0,59,68,3
815,15,20,0,59,68,2
816,166,21,0,57,68,2
817,164,23,0,57,68,3
1,1,2,1,55,24,2
3,131,7,0,55,24,2
4,6,5,0,55,24,2
5,205,17,0,54,24,2
10,166,19,0,53,24,2
13,6,6,0,55,24,2
15,205,18,0,53,24,2
16,10,9,0,55,24,2
17,9,4,0,55,24,3
18,1,3,0,55,24,2
22,3,24,0,54,24,2
24,164,22,0,53,24,1
30,131,8,0,55,24,2
153,5,15,0,54,24,2
155,15,16,0,54,24,2
808,4,12,0,54,24,2
811,4,14,0,54,24,3
813,3,23,0,54,24,2
814,10,10,0,55,24,1
815,15,11,0,54,24,2
817,164,20,0,48,24,2
1,1,4,0,46,18,3
3,131,6,0,70,18,2
4,6,5,0,71,18,3
5,205,19,0,69,18,3
10,166,24,0,21,18,1
13,6,7,0,71,18,2
15,205,20,0,69,18,2
16,10,8,0,70,18,3
17,9,2,1,71,18,3
18,1,3,0,71,18,3
20,9,1,0,71,18,3
22,3,12,0,70,18,3
24,164,21,0,61,18,2
30,131,10,0,70,18,3
67,5,14,0,70,18,2
153,5,13,0,70,18,2
155,15,16,0,70,18,2
808,4,15,0,70,18,3
811,4,9,0,69,18,4
813,3,18,0,26,18,1
814,10,11,0,70,18,2
815,15,17,0,70,18,2
816,166,23,0,68,18,2
817,164,22,0,68,18,2
1,1,1,0,58,1,2
3,131,7,0,58,1,2
4,6,12,0,58,1,2
5,207,18,0,38,1,3
8,208,17,0,58,1,2
10,206,20,0,57,1,2
13,6,16,0,46,1,3
17,9,5,0,58,1,2
18,1,2,1,58,1,2
20,9,6,0,58,1,2
155,15,13,0,58,1,2
808,207,19,0,34,1,1
811,3,14,0,52,1,3
813,3,8,0,57,1,2
814,10,15,0,58,1,2
815,15,22,0,58,1,1
817,5,10,0,58,1,3
818,5,11,0,58,1,2
819,206,21,0,53,1,3
1,1,1,0,56,2,3
3,131,7,0,56,2,4
4,6,8,1,56,2,3
5,207,24,0,55,2,4
8,208,10,0,56,2,3
10,206,20,0,55,2,3
13,6,12,0,56,2,4
17,9,4,0,56,2,3
18,1,2,0,56,2,5
20,9,5,0,56,2,4
30,131,3,0,56,2,3
37,164,22,0,54,2,3
39,164,23,0,54,2,2
155,15,17,0,46,2,3
807,10,16,0,56,2,3
808,207,19,0,55,2,3
811,3,13,0,56,2,4
813,3,11,0,54,2,4
814,10,14,0,56,2,3
815,15,9,0,56,2,3
817,5,15,0,56,2,4
818,5,18,0,56,2,2
819,206,21,0,54,2,3
1,1,7,0,56,17,3
3,131,1,1,56,17,2
4,6,9,0,56,17,3
5,207,18,0,53,17,3
8,208,4,0,56,17,2
10,206,20,0,55,17,2
13,6,12,0,56,17,2
17,9,6,0,56,17,3
18,1,5,0,56,17,3
20,9,11,0,56,17,2
30,131,2,0,12,17,1
37,164,22,0,55,17,2
39,164,23,0,54,17,2
154,208,10,0,56,17,2
155,15,3,0,56,17,3
807,10,16,0,56,17,2
808,207,19,0,55,17,2
811,3,14,0,56,17,2
813,3,13,0,56,17,2
814,10,15,0,56,17,2
815,15,8,0,56,17,2
817,5,17,0,56,17,2
818,5,24,0,56,17,3
819,206,21,0,55,17,3
1,1,2,0,57,3,3
3,131,5,0,57,3,3
4,6,9,0,57,3,3
5,207,16,0,56,3,4
8,208,11,0,57,3,3
10,206,23,0,55,3,3
13,6,14,0,57,3,3
17,9,3,0,57,3,3
18,1,4,0,55,3,4
20,9,1,1,57,3,3
