raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
845,39,164,22,21,61,4,1,14,24843
845,39,164,22,21,61,4,2,28,24448
845,39,164,22,21,61,4,3,47,24298
845,13,6,8,22,58,4,1,11,20800
845,13,6,8,22,58,4,2,21,21635
845,13,6,8,22,58,4,3,36,22419
845,5,205,15,23,48,4,1,16,21019
845,5,205,15,23,48,4,2,28,20807
845,5,205,15,23,48,4,3,41,23068
845,24,164,21,24,28,4,1,16,23157
846,20,9,1,1,78,6,1,16,28536
846,4,6,4,2,78,6,1,17,25352
846,4,6,4,2,78,6,2,34,31382
846,18,1,2,3,78,6,1,15,25280
846,18,1,2,3,78,6,2,33,26421
846,18,1,2,3,78,6,3,48,24670
846,17,9,3,4,78,6,1,16,37735
846,17,9,3,4,78,6,2,55,26269
846,155,15,12,5,78,6,1,34,28642
846,1,1,9,6,78,6,1,22,31445
846,1,1,9,6,78,6,2,43,19347
846,1,1,9,6,78,6,3,49,26977
846,16,10,14,7,77,6,1,34,25037
846,16,10,14,7,77,6,2,68,27879
846,2,4,15,8,77,6,1,33,25851
846,2,4,15,8,77,6,2,69,26281
846,22,3,11,9,77,6,1,32,25921
846,22,3,11,9,77,6,2,68,25675
846,67,5,16,10,77,6,1,33,26073
846,67,5,16,10,77,6,2,62,25045
846,3,131,7,11,76,6,1,15,25189
846,3,131,7,11,76,6,2,33,25310
846,3,131,7,11,76,6,3,53,25116
846,814,10,13,12,76,6,1,20,24970
846,814,10,13,12,76,6,2,27,19360
846,814,10,13,12,76,6,3,32,47226
846,15,205,18,13,76,6,1,24,25595
846,15,205,18,13,76,6,2,46,26065
846,5,205,17,14,76,6,1,19,26477
846,5,205,17,14,76,6,2,52,25878
846,816,166,21,15,75,6,1,33,27577
846,816,166,21,15,75,6,2,63,26464
846,24,164,23,16,75,6,1,32,28298
846,39,164,22,17,74,6,1,25,28325
846,39,164,22,17,74,6,2,33,39917
846,813,3,8,18,73,6,1,25,26468
846,813,3,8,18,73,6,2,54,25687
846,808,4,10,19,67,6,1,28,28856
846,153,5,19,20,66,6,1,29,25907
846,153,5,19,20,66,6,2,56,27550
846,13,6,6,21,32,6,1,26,26615
846,30,131,5,22,32,6,1,12,35084
846,10,166,20,23,30,6,1,22,26827
847,18,1,7,1,70,7,1,8,23650
847,18,1,7,1,70,7,2,13,14501
847,18,1,7,1,70,7,3,19,23868
847,18,1,7,1,70,7,4,35,23589
847,18,1,7,1,70,7,5,37,31718
847,18,1,7,1,70,7,6,51,23741
847,20,9,1,2,70,7,1,20,23872
847,20,9,1,2,70,7,2,37,22958
847,20,9,1,2,70,7,3,53,22526
847,17,9,4,3,70,7,1,20,29546
847,17,9,4,3,70,7,2,36,22402
847,17,9,4,3,70,7,3,50,22770
847,30,131,8,4,70,7,1,18,24472
847,30,131,8,4,70,7,2,21,24196
847,30,131,8,4,70,7,3,34,22832
847,30,131,8,4,70,7,4,52,22869
847,808,4,10,5,70,7,1,36,23816
847,808,4,10,5,70,7,2,53,24145
847,13,6,3,6,70,7,1,21,24886
847,13,6,3,6,70,7,2,36,22742
847,13,6,3,6,70,7,3,52,22560
847,13,6,3,6,70,7,4,53,28346
847,155,15,13,7,70,7,1,36,23687
847,155,15,13,7,70,7,2,53,24618
847,153,5,24,8,70,7,1,19,26045
847,153,5,24,8,70,7,2,35,24863
847,153,5,24,8,70,7,3,51,23338
847,22,3,16,9,70,7,1,15,23305
847,22,3,16,9,70,7,2,19,25066
847,22,3,16,9,70,7,3,34,24684
847,22,3,16,9,70,7,4,50,23059
847,67,5,15,10,70,7,1,17,23949
847,67,5,15,10,70,7,2,20,24649
847,67,5,15,10,70,7,3,34,23970
847,67,5,15,10,70,7,4,50,26561
847,3,131,6,11,70,7,1,17,23105
847,3,131,6,11,70,7,2,19,22986
847,3,131,6,11,70,7,3,36,22735
847,3,131,6,11,70,7,4,53,22702
847,37,15,17,12,70,7,1,35,30288
847,37,15,17,12,70,7,2,52,24039
847,24,164,20,13,69,7,1,9,27202
847,24,164,20,13,69,7,2,35,34897
847,24,164,20,13,69,7,3,52,33278
847,39,164,22,14,69,7,1,37,29115
847,39,164,22,14,69,7,2,51,29540
847,816,166,23,15,69,7,1,17,24143
847,816,166,23,15,69,7,2,23,30497
847,816,166,23,15,69,7,3,33,24655
847,816,166,23,15,69,7,4,36,14538
847,816,166,23,15,69,7,5,52,30714
847,10,166,21,16,69,7,1,34,24425
847,10,166,21,16,69,7,2,51,25079
847,15,205,18,17,69,7,1,19,51684
847,15,205,18,17,69,7,2,36,23332
847,15,205,18,17,69,7,3,52,25140
847,814,10,11,18,67,7,1,35,22479
847,814,10,11,18,67,7,2,43,28630
847,814,10,11,18,67,7,3,50,14538
847,814,10,11,18,67,7,4,53,23129
847,813,3,12,19,61,7,1,17,23571
847,813,3,12,19,61,7,2,19,24943
847,813,3,12,19,61,7,3,35,23593
847,813,3,12,19,61,7,4,51,23700
847,813,3,12,19,61,7,5,61,31701
847,2,4,9,20,55,7,1,35,23113
847,2,4,9,20,55,7,2,52,23364
847,16,10,14,21,49,7,1,16,24052
847,16,10,14,21,49,7,2,34,22923
847,16,10,14,21,49,7,3,45,14565
847,16,10,14,21,49,7,4,49,32449
847,4,6,2,22,36,7,1,17,23893
847,4,6,2,22,36,7,2,19,26348
847,4,6,2,22,36,7,3,36,26129
847,5,205,19,23,28,7,1,19,44037
848,20,9,1,1,57,12,1,14,21006
848,20,9,1,1,57,12,2,30,20441
848,20,9,1,1,57,12,3,47,20331
848,4,6,4,2,57,12,1,14,21477
848,4,6,4,2,57,12,2,29,20551
848,4,6,4,2,57,12,3,45,20136
848,17,9,2,3,57,12,1,13,20465
848,17,9,2,3,57,12,2,28,20319
848,17,9,2,3,57,12,3,42,20367
848,1,1,3,4,57,12,1,12,20340
848,1,1,3,4,57,12,2,24,21035
848,1,1,3,4,57,12,3,42,20212
848,13,6,5,5,57,12,1,15,20718
848,13,6,5,5,57,12,2,31,25537
848,13,6,5,5,57,12,3,48,20404
848,18,1,6,6,57,12,1,14,20997
848,18,1,6,6,57,12,2,30,20325
848,18,1,6,6,57,12,3,48,20479
848,3,131,7,7,57,12,1,12,21054
848,3,131,7,7,57,12,2,30,23547
848,3,131,7,7,57,12,3,45,20896
848,153,5,18,8,56,12,1,19,21391
848,153,5,18,8,56,12,2,42,21103
848,16,10,10,9,56,12,1,12,20676
848,16,10,10,9,56,12,2,28,20286
848,16,10,10,9,56,12,3,43,21036
848,2,4,9,10,56,12,1,11,22114
848,2,4,9,10,56,12,2,27,22285
848,2,4,9,10,56,12,3,40,21472
848,815,15,16,11,56,12,1,25,21939
848,22,3,13,12,56,12,1,11,21163
848,22,3,13,12,56,12,2,28,21262
848,22,3,13,12,56,12,3,40,21286
848,67,5,17,13,56,12,1,14,21321
848,67,5,17,13,56,12,2,26,20460
848,67,5,17,13,56,12,3,45,20995
848,814,10,12,14,56,12,1,14,20567
848,814,10,12,14,56,12,2,27,20818
848,814,10,12,14,56,12,3,44,21069
848,808,4,11,15,56,12,1,15,22104
848,808,4,11,15,56,12,2,27,21168
848,808,4,11,15,56,12,3,39,21105
848,155,15,14,16,56,12,1,11,23492
848,155,15,14,16,56,12,2,33,20545
848,30,131,8,17,56,12,1,14,21201
848,30,131,8,17,56,12,2,15,30665
848,30,131,8,17,56,12,3,31,21168
848,813,3,15,18,56,12,1,10,21301
848,813,3,15,18,56,12,2,28,21805
848,813,3,15,18,56,12,3,44,21490
848,5,205,19,19,55,12,1,14,23241
848,5,205,19,19,55,12,2,26,21126
848,5,205,19,19,55,12,3,42,22632
848,15,205,20,20,55,12,1,18,23327
848,15,205,20,20,55,12,2,34,22131
848,10,166,21,21,55,12,1,17,21900
848,10,166,21,21,55,12,2,42,22030
848,816,166,23,22,55,12,1,18,21943
848,816,166,23,22,55,12,2,37,22250
848,24,164,22,23,54,12,1,15,24459
848,24,164,22,23,54,12,2,28,22766
848,24,164,22,23,54,12,3,43,22235
848,39,164,24,24,54,12,1,14,28030
848,39,164,24,24,54,12,2,29,24675
848,39,164,24,24,54,12,3,44,26059
849,4,6,3,1,52,9,1,12,26566
849,4,6,3,1,52,9,2,27,23974
849,4,6,3,1,52,9,3,39,23474
849,20,9,2,2,52,9,1,13,24818
849,20,9,2,2,52,9,2,27,31558
849,20,9,2,2,52,9,3,36,23137
849,17,9,1,3,52,9,1,12,23973
849,17,9,1,3,52,9,2,26,25490
849,17,9,1,3,52,9,3,38,23785
849,1,1,10,4,52,9,1,12,25100
849,1,1,10,4,52,9,2,24,24065
849,1,1,10,4,52,9,3,37,23340
849,13,6,4,5,52,9,1,13,24159
849,13,6,4,5,52,9,2,26,23929
849,13,6,4,5,52,9,3,41,23238
849,3,131,9,6,52,9,1,12,24722
849,3,131,9,6,52,9,2,30,24399
849,815,15,12,7,52,9,1,12,25386
849,815,15,12,7,52,9,2,32,25619
849,2,4,16,8,52,9,1,10,24716
849,2,4,16,8,52,9,2,30,24434
849,30,131,13,9,52,9,1,9,30242
849,30,131,13,9,52,9,2,16,31751
849,30,131,13,9,52,9,3,31,24651
849,153,5,18,10,52,9,1,12,24719
849,153,5,18,10,52,9,2,31,24095
849,16,10,11,11,52,9,1,11,25737
849,16,10,11,11,52,9,2,25,24077
849,16,10,11,11,52,9,3,40,27240
849,808,4,14,12,52,9,1,11,24880
849,808,4,14,12,52,9,2,38,24172
849,22,3,15,13,51,9,1,11,25860
849,22,3,15,13,51,9,2,31,23955
849,813,3,7,14,51,9,1,11,26238
849,813,3,7,14,51,9,2,24,24272
849,813,3,7,14,51,9,3,35,23869
849,814,10,6,15,51,9,1,12,26612
849,814,10,6,15,51,9,2,24,45291
849,814,10,6,15,51,9,3,26,31471
849,10,166,20,16,50,9,1,11,25416
849,10,166,20,16,50,9,2,30,24959
849,816,166,22,17,50,9,1,11,28742
849,816,166,22,17,50,9,2,28,25428
849,24,164,23,18,50,9,1,11,26643
849,24,164,23,18,50,9,2,31,25505
849,817,164,24,19,49,9,1,12,25872
849,817,164,24,19,49,9,2,28,26942
849,18,1,5,20,39,9,1,11,25070
849,18,1,5,20,39,9,2,26,24287
849,18,1,5,20,39,9,3,39,23292
849,67,5,19,21,25,9,1,11,26279
849,67,5,19,21,25,9,2,25,24620
849,155,15,8,22,23,9,1,11,28448
849,155,15,8,22,23,9,2,20,31551
850,1,1,2,1,60,20,1,16,20982
850,1,1,2,1,60,20,2,31,20496
850,1,1,2,1,60,20,3,51,20403
850,4,6,4,2,60,20,1,16,20430
850,4,6,4,2,60,20,2,32,20035
850,4,6,4,2,60,20,3,53,19975
850,17,9,1,3,60,20,1,14,20440
850,17,9,1,3,60,20,2,30,21299
850,17,9,1,3,60,20,3,56,20324
850,20,9,3,4,60,20,1,16,20394
850,20,9,3,4,60,20,2,40,20274
850,20,9,3,4,60,20,3,59,20110
850,13,6,5,5,60,20,1,17,20344
850,13,6,5,5,60,20,2,41,20185
850,13,6,5,5,60,20,3,59,21903
850,16,10,8,6,60,20,1,22,20839
850,16,10,8,6,60,20,2,48,20879
850,3,131,6,7,59,20,1,14,20348
850,3,131,6,7,59,20,2,36,20975
850,3,131,6,7,59,20,3,53,20047
850,30,131,10,8,59,20,1,15,20768
850,30,131,10,8,59,20,2,37,20299
850,30,131,10,8,59,20,3,56,19930
850,155,15,17,9,59,20,1,20,20882
850,155,15,17,9,59,20,2,48,21267
850,808,4,9,10,59,20,1,23,21449
850,808,4,9,10,59,20,2,46,20572
850,815,15,15,11,59,20,1,8,27247
850,815,15,15,11,59,20,2,41,21645
850,153,5,16,12,59,20,1,23,21062
850,153,5,16,12,59,20,2,43,21689
850,814,10,12,13,59,20,1,23,23676
850,814,10,12,13,59,20,2,51,22535
850,813,3,13,14,59,20,1,15,21601
850,813,3,13,14,59,20,2,35,21057
850,67,5,24,15,59,20,1,10,27301
850,67,5,24,15,59,20,2,36,20954
850,5,205,18,16,58,20,1,26,22088
850,5,205,18,16,58,20,2,50,21175
850,10,166,19,17,57,20,1,22,22252
850,10,166,19,17,57,20,2,48,21252
850,816,166,21,18,57,20,1,24,20762
850,816,166,21,18,57,20,2,49,23588
850,817,164,22,19,57,20,1,21,22319
850,817,164,22,19,57,20,2,49,24053
850,812,205,20,20,56,20,1,10,31879
850,812,205,20,20,56,20,2,28,22331
850,812,205,20,20,56,20,3,51,22458
850,24,164,23,21,37,20,1,20,22048
850,18,1,7,22,35,20,1,24,20952
851,18,1,3,1,70,11,1,11,21786
851,18,1,3,1,70,11,2,27,21065
851,18,1,3,1,70,11,3,42,20046
