raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
865,818,5,16,12,77,6,2,70,26157
865,819,206,21,18,64,6,1,33,27186
866,1,1,2,1,70,7,2,50,22530
866,3,131,5,6,70,7,2,38,21179
866,4,6,3,5,70,7,1,19,21133
866,5,207,17,18,69,7,2,42,21704
866,8,208,12,8,70,7,1,40,21534
866,10,206,21,21,56,7,1,24,25520
866,13,6,6,10,70,7,2,58,21115
866,17,9,4,7,70,7,2,52,21254
866,18,1,10,16,69,7,3,52,21363
866,20,9,1,4,70,7,2,63,22428
866,30,131,9,22,43,7,2,43,22524
866,154,208,7,2,70,7,1,21,21830
866,155,15,11,9,70,7,1,24,21453
866,807,10,13,12,70,7,2,42,23660
866,808,207,18,19,69,7,2,43,21403
866,811,3,16,17,69,7,1,23,22781
866,813,3,22,13,70,7,1,29,22704
866,814,10,8,11,70,7,2,44,21734
866,815,15,15,3,70,7,1,41,21407
866,817,5,14,14,70,7,2,58,21558
866,818,5,19,15,69,7,3,47,14641
866,819,206,23,20,69,7,1,28,23291
867,1,1,2,19,55,12,2,28,31081
867,3,131,6,6,57,12,2,46,20115
867,4,6,11,1,57,12,2,28,20718
867,5,207,16,14,57,12,2,27,24445
867,8,208,5,2,57,12,2,28,21103
867,13,6,13,16,56,12,4,53,20476
867,17,9,19,4,57,12,2,38,20222
867,18,1,9,8,57,12,2,26,19640
867,20,9,1,21,33,12,2,29,20023
867,30,131,12,3,57,12,2,41,20041
867,37,164,21,17,56,12,2,28,23125
867,39,164,22,18,56,12,3,39,14780
867,154,208,4,20,40,12,2,28,23183
867,155,15,7,22,33,12,2,20,25719
867,807,10,8,5,57,12,2,28,20332
867,808,207,20,13,57,12,4,47,30800
867,811,3,14,10,57,12,2,24,14659
867,813,3,3,12,57,12,2,28,21525
867,814,10,10,7,57,12,1,23,20295
867,815,15,15,9,57,12,2,25,20904
867,817,5,17,11,57,12,2,37,22597
867,818,5,18,23,26,12,1,17,21303
867,819,206,23,15,57,12,2,28,22838
868,1,1,8,8,52,9,2,28,25003
868,3,131,11,15,52,9,2,37,33529
868,4,6,1,2,52,9,2,37,24998
868,5,207,19,17,51,9,2,29,26434
868,8,208,6,5,52,9,2,34,25871
868,10,206,20,18,51,9,2,38,25241
868,13,6,5,4,52,9,2,35,25110
868,17,9,2,1,52,9,2,33,25179
868,18,1,16,10,52,9,2,31,24762
868,20,9,4,3,52,9,2,31,25319
868,30,131,3,7,52,9,2,34,25552
868,37,164,21,20,50,9,1,27,27715
868,39,164,22,21,50,9,2,35,27944
868,154,208,9,6,52,9,2,26,25388
868,155,15,17,11,52,9,2,37,39208
868,807,10,14,12,52,9,2,35,25444
868,811,3,13,9,52,9,2,30,26573
868,813,3,7,16,51,9,2,12,33068
868,814,10,10,23,2,9,1,1,32790
868,815,15,15,22,11,9,1,11,25192
868,817,5,12,13,52,9,2,29,25613
868,818,5,23,14,52,9,2,32,26200
868,819,206,24,19,51,9,2,32,26164
869,1,1,7,24,56,10,3,47,18877
869,3,131,21,10,67,10,3,50,18741
869,4,6,1,1,67,10,2,41,17942
869,5,207,16,19,65,10,4,53,28988
869,8,208,10,3,67,10,2,38,17735
869,10,206,22,22,64,10,2,40,18952
869,13,6,13,12,67,10,3,47,19680
869,17,9,8,8,67,10,2,40,17290
869,18,1,6,2,67,10,2,40,16831
869,20,9,2,5,67,10,2,41,17859
869,30,131,3,7,67,10,3,52,18163
869,37,164,23,21,64,10,2,45,20664
869,39,164,24,23,64,10,2,46,19382
869,154,208,19,18,66,10,3,42,22743
869,155,15,12,4,67,10,2,43,19177
869,807,10,4,9,67,10,3,46,18365
869,808,207,18,16,66,10,3,50,18354
869,811,3,14,17,66,10,3,47,18313
869,813,3,5,15,66,10,3,57,18085
869,814,10,9,11,67,10,2,39,17968
869,815,15,17,6,67,10,2,40,18199
869,817,5,11,13,67,10,2,38,17990
869,818,5,15,14,67,10,3,45,19949
869,819,206,20,20,65,10,2,43,19391
870,1,1,1,1,69,11,2,40,19059
870,3,131,13,10,69,11,2,40,20632
870,4,6,6,5,69,11,2,43,19365
870,5,207,19,17,68,11,3,56,20567
870,8,208,5,2,69,11,2,45,19772
