resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration
20976,849,30,131,13,9,2.0,52,1,3,86644
20977,849,153,5,18,10,1.0,52,1,2,48814
20978,849,16,10,11,11,0.0,52,1,3,77054
20979,849,808,4,14,12,0.0,52,1,2,49052
20980,849,22,3,15,13,0.0,51,11,2,49815
20981,849,813,3,7,14,0.0,51,11,3,74379
20982,849,814,10,6,15,0.0,51,11,3,103374
20983,849,10,166,20,16,0.0,50,12,2,50375
20984,849,816,166,22,17,0.0,50,12,2,54170
20985,849,24,164,23,18,0.0,50,12,2,52148
20986,849,817,164,24,19,0.0,49,13,2,52814
20987,849,18,1,5,20,0.0,39,61,3,72649
20988,849,67,5,19,21,0.0,25,3,2,50899
20989,849,155,15,8,22,0.0,23,5,2,59999
20992,850,1,1,2,1,25.0,60,1,3,61881
20993,850,4,6,4,2,18.0,60,1,3,60440
20994,850,17,9,1,3,15.0,60,1,3,62063
20995,850,20,9,3,4,12.0,60,1,3,60778
20996,850,13,6,5,5,10.0,60,1,3,62432
20997,850,16,10,8,6,8.0,60,1,2,41718
20998,850,3,131,6,7,6.0,59,11,3,61370
20999,850,30,131,10,8,4.0,59,11,3,60997
21000,850,155,15,17,9,2.0,59,11,2,42149
21001,850,808,4,9,10,1.0,59,11,2,42021
21002,850,815,15,15,11,0.0,59,11,2,48892
21003,850,153,5,16,12,0.0,59,11,2,42751
21004,850,814,10,12,13,0.0,59,11,2,46211
21005,850,813,3,13,14,0.0,59,11,2,42658
21006,850,67,5,24,15,0.0,59,11,2,48255
21007,850,5,205,18,16,0.0,58,12,2,43263
21008,850,10,166,19,17,0.0,57,13,2,43504
21009,850,816,166,21,18,0.0,57,13,2,44350
21010,850,817,164,22,19,0.0,57,13,2,46372
21011,850,812,205,20,20,0.0,56,14,3,76668
21012,850,24,164,23,21,0.0,37,10,1,22048
21013,850,18,1,7,22,0.0,35,9,1,20952
21016,851,18,1,3,1,25.0,70,1,3,62897
21017,851,20,9,1,2,18.0,70,1,3,60965
21018,851,4,6,5,3,15.0,70,1,4,86156
21019,851,1,1,2,4,12.0,70,1,6,119200
21020,851,17,9,6,5,10.0,70,1,5,103364
21021,851,13,6,4,6,8.0,70,1,4,87041
21022,851,814,10,11,7,6.0,69,11,3,63998
21023,851,67,5,23,8,4.0,69,11,3,64169
21024,851,3,131,7,9,2.0,69,11,4,84513
21025,851,153,5,16,10,1.0,69,11,3,67631
21026,851,155,15,13,11,0.0,69,11,3,67835
21027,851,808,4,12,12,0.0,69,11,4,92688
21028,851,22,3,15,13,0.0,68,12,5,122572
21029,851,16,10,8,14,0.0,68,12,4,85790
21030,851,815,15,10,15,0.0,68,12,4,76903
